listing_id,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,instant_bookable
4452984,True,23,53,83,358,2025-03-15,True
4480481,True,1,1,1,270,2025-03-13,False
4482916,True,0,1,31,121,2025-03-13,False
4482945,True,1,1,1,1,2025-03-14,False
4496126,True,0,0,26,301,2025-03-13,False
4545885,True,7,33,55,145,2025-03-13,False
4552932,True,3,11,17,160,2025-03-13,False
4565447,True,7,13,15,120,2025-03-13,True
4579903,True,8,38,68,343,2025-03-13,False
4580159,True,18,30,60,335,2025-03-13,False
4604357,True,7,19,38,125,2025-03-13,False
4616068,True,4,10,14,237,2025-03-14,True
4621063,True,27,57,87,362,2025-03-13,False
4634946,True,8,16,31,32,2025-03-13,False
4635196,True,28,58,63,320,2025-03-13,False
4708026,True,3,9,35,310,2025-03-14,False
4730124,True,22,51,75,165,2025-03-13,False
4730309,True,0,0,0,0,2025-03-14,False
4741982,True,4,6,9,195,2025-03-14,False
4742331,True,0,0,25,25,2025-03-13,False
4764483,True,15,15,15,173,2025-03-15,False
4767589,True,7,37,67,247,2025-03-15,False
4801046,True,3,20,50,311,2025-03-13,False
4841217,True,0,0,0,0,2025-03-13,True
4848799,True,0,0,0,0,2025-03-13,False
4922023,True,0,0,0,0,2025-03-14,True
4924193,True,29,59,76,269,2025-03-13,False
4943572,True,0,1,19,141,2025-03-14,False
4978586,True,0,0,17,235,2025-03-14,False
4978657,True,2,15,30,279,2025-03-13,False
5009416,True,28,58,88,363,2025-03-14,False
5012334,True,0,0,0,0,2025-03-14,True
5018679,True,0,0,0,201,2025-03-13,False
5026926,True,6,15,29,279,2025-03-13,False
5030765,True,4,31,45,93,2025-03-13,False
5030785,True,4,31,45,118,2025-03-13,False
5066458,True,5,19,33,301,2025-03-13,False
5075773,True,30,60,90,90,2025-03-13,False
5076606,True,0,0,0,0,2025-03-14,True
5089725,True,11,11,11,226,2025-03-13,True
5111311,True,13,36,62,230,2025-03-13,False
5132940,True,7,22,36,162,2025-03-15,False
5145487,True,17,43,58,323,2025-03-13,False
5156582,True,0,0,0,0,2025-03-13,True
5166322,True,7,37,67,67,2025-03-13,False
5195346,True,0,0,23,113,2025-03-13,False
5239084,True,1,1,1,1,2025-03-14,False
5262416,True,4,7,13,224,2025-03-13,False
5286261,True,12,28,46,226,2025-03-13,True
5318112,True,12,22,22,165,2025-03-15,False
5372128,True,0,0,11,11,2025-03-13,False
5405966,True,1,13,22,101,2025-03-13,False
5562632,True,0,0,0,0,2025-03-13,False
5592949,True,7,27,53,253,2025-03-13,False
5593096,True,10,38,68,272,2025-03-13,False
5652436,True,0,0,0,70,2025-03-13,False
5661282,True,5,35,65,65,2025-03-13,False
5755232,True,0,0,0,0,2025-03-14,False
5780038,True,2,25,55,179,2025-03-13,False
5790254,True,0,8,20,274,2025-03-13,True
5825904,True,0,0,0,0,2025-03-14,False
5834173,True,9,22,36,36,2025-03-13,False
5862637,True,2,10,14,248,2025-03-13,True
5903980,True,6,8,9,24,2025-03-13,False
5904077,True,5,17,30,30,2025-03-14,False
5970323,True,1,1,1,1,2025-03-14,False
5985721,True,11,41,71,346,2025-03-13,False
6000894,True,23,53,83,173,2025-03-13,False
6027248,True,23,53,83,357,2025-03-14,True
6047348,True,28,58,88,88,2025-03-14,False
6091385,True,2,21,36,180,2025-03-13,False
6091388,True,11,40,70,345,2025-03-14,False
6103261,True,20,50,80,355,2025-03-13,False
6118082,True,0,15,15,281,2025-03-15,False
6128357,True,0,0,10,285,2025-03-13,True
6133914,True,0,0,0,0,2025-03-13,False
6227307,True,1,4,5,34,2025-03-15,False
6247860,True,3,4,7,159,2025-03-13,False
6331663,True,16,33,53,154,2025-03-13,False
6333552,True,5,20,34,135,2025-03-13,False
6334405,True,0,0,0,0,2025-03-14,False
6355197,True,6,9,18,107,2025-03-13,False
6374588,True,3,24,44,148,2025-03-13,False
6389428,True,10,39,69,69,2025-03-13,False
6404202,True,11,34,53,129,2025-03-15,True
6424291,True,2,2,2,44,2025-03-13,False
6438519,True,0,0,0,0,2025-03-13,False
6479337,True,11,20,39,294,2025-03-13,False
6490357,True,1,1,1,1,2025-03-14,False
6491631,True,5,19,32,98,2025-03-13,False
6501477,True,0,0,0,0,2025-03-13,False
6557100,True,0,0,0,0,2025-03-13,False
6569449,True,2,21,49,324,2025-03-15,False
6627551,True,29,59,89,179,2025-03-13,False
6677616,True,30,60,90,365,2025-03-13,True
6746916,True,7,19,27,236,2025-03-13,False
6775930,True,11,20,26,33,2025-03-13,False
6779201,True,9,20,30,90,2025-03-13,False
6832557,True,1,7,12,85,2025-03-13,False
6836332,True,0,0,0,42,2025-03-15,False
6913597,True,30,60,90,180,2025-03-13,False
6956685,True,0,29,59,219,2025-03-13,False
6968949,True,29,59,89,364,2025-03-13,True
6969950,True,22,52,82,357,2025-03-13,True
7020322,True,6,22,30,258,2025-03-14,False
7060166,True,0,0,0,223,2025-03-13,False
7106899,True,29,59,89,302,2025-03-13,False
7195053,True,0,11,41,120,2025-03-13,False
7245977,True,1,1,1,1,2025-03-14,False
7259793,True,28,58,88,363,2025-03-15,False
7280994,True,4,11,18,54,2025-03-13,False
7290056,True,0,0,0,0,2025-03-14,False
7319641,True,4,10,20,180,2025-03-13,False
7384867,True,1,29,59,334,2025-03-13,False
7385563,True,0,0,0,0,2025-03-13,False
7387956,True,29,59,74,349,2025-03-13,False
7452083,True,4,34,39,261,2025-03-13,False
7547751,True,0,0,11,101,2025-03-13,False
7559867,True,5,15,33,123,2025-03-14,False
7626430,True,6,36,38,77,2025-03-15,False
7629788,True,0,0,0,0,2025-03-13,True
7660850,True,0,0,0,0,2025-03-13,False
7677038,True,8,24,54,329,2025-03-13,True
7714880,True,20,50,80,169,2025-03-13,True
7725828,True,29,59,89,364,2025-03-13,True
7733964,True,19,39,69,270,2025-03-13,False
7800582,True,0,0,0,0,2025-03-13,False
7801335,True,25,55,85,349,2025-03-13,False
7826994,True,30,60,90,365,2025-03-15,False
7930288,True,24,54,84,359,2025-03-13,False
7968494,True,16,44,74,156,2025-03-13,False
7972359,True,30,60,90,365,2025-03-13,False
7997888,True,0,11,41,316,2025-03-15,False
8072054,True,1,31,61,264,2025-03-13,False
8118612,True,0,0,5,50,2025-03-13,False
8165340,True,0,0,0,0,2025-03-14,False
8190920,True,6,16,27,279,2025-03-13,True
8191090,True,0,0,0,0,2025-03-14,False
8206306,True,28,58,88,363,2025-03-13,False
8227337,True,30,60,90,365,2025-03-14,False
8300958,True,7,23,45,168,2025-03-14,False
8301945,True,30,60,90,365,2025-03-13,False
8309843,True,0,0,0,0,2025-03-14,False
8339618,True,0,12,23,240,2025-03-13,False
8347485,True,11,11,15,283,2025-03-15,False
8353034,True,7,22,31,109,2025-03-14,False
8363399,True,0,0,0,0,2025-03-13,True
8381345,True,0,30,60,335,2025-03-13,False
8397296,True,5,10,17,273,2025-03-13,True
8404345,True,4,30,49,189,2025-03-13,False
8409891,True,13,19,32,32,2025-03-13,True
8419348,True,1,1,1,1,2025-03-14,False
8424836,True,15,43,68,142,2025-03-13,False
8479494,True,14,37,57,311,2025-03-13,False
8581470,True,7,30,52,325,2025-03-14,False
8608311,True,0,9,16,52,2025-03-14,False
8616083,True,0,1,1,225,2025-03-13,True
8645356,True,0,0,0,0,2025-03-13,False
8645554,True,0,0,6,238,2025-03-13,False
8645700,True,0,0,0,98,2025-03-15,False
8646332,True,0,2,12,248,2025-03-13,False
8646530,True,6,6,18,293,2025-03-15,False
8710450,True,0,0,0,0,2025-03-13,False
8737926,True,30,60,90,365,2025-03-13,False
8741535,True,18,48,78,353,2025-03-13,False
8846542,True,13,40,50,85,2025-03-13,False
8902602,True,0,0,0,0,2025-03-13,True
8933705,True,0,0,0,0,2025-03-13,True
8964989,True,3,23,49,135,2025-03-15,False
8965848,True,0,0,0,0,2025-03-14,False
8967165,True,0,0,0,0,2025-03-13,False
8973686,True,0,0,0,0,2025-03-13,False
9028780,True,1,1,1,272,2025-03-13,False
9094563,True,11,24,46,133,2025-03-13,False
9113304,True,6,24,36,306,2025-03-13,False
9156290,True,1,20,39,122,2025-03-13,True
