listing_id,host_id,neighbourhood_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price
835429821043032052,4975305,2,38.8882351,-76.98801139999999,2,2.5,1.0,2.0,571.0
836141667456499006,22936195,19,38.90457953667989,-77.05825407301637,6,2.5,2.0,2.0,265.0
836310930415164392,747404,12,38.95960257070125,-77.03712820378549,4,1.0,1.0,2.0,80.0
836406929215378546,503128124,8,38.96234733375039,-77.00061235115648,6,2.0,3.0,4.0,174.0
836989547274059172,487806,1,38.9173198457482,-77.01156335932367,6,,3.0,,102.0
837000965240627857,487806,1,38.91933,-77.01003,4,1.0,1.0,1.0,71.0
837202989708630825,161599427,2,38.88721,-76.99776,4,1.5,2.0,3.0,105.0
838234355400005587,107434423,24,38.90099439999999,-77.04957859999999,2,,1.0,,186.0
838463237828208781,353203626,37,38.8531038,-76.96706549999999,12,3.5,4.0,7.0,226.0
838686093736867926,54194447,16,38.87759553115392,-76.93533345215569,2,,1.0,,80.0
839809094446600388,50949458,24,38.89961,-77.05308,6,2.5,3.0,4.0,243.0
839835992541464126,53500538,9,38.91043730368967,-77.02749509113185,5,,2.0,,153.0
839842059620624393,51446803,30,38.8702186,-76.9819837,4,1.0,1.0,1.0,68.0
839868263034540103,53500538,12,38.94534302288552,-77.0258659092332,3,1.0,1.0,2.0,97.0
840142940538587740,67506564,16,38.888376318262026,-76.92658893946233,2,1.0,1.0,1.0,45.0
840609331258164902,493926224,9,38.91245,-77.02204,3,1.0,1.0,2.0,101.0
840678119954377843,85745746,18,38.8959505,-76.97848069999999,2,1.0,1.0,1.0,94.0
840874289101839772,39482718,16,38.8912668,-76.9360672,2,1.0,0.0,1.0,104.0
840943195846923973,288033145,10,38.917789639985,-77.02905649104005,2,1.0,1.0,1.0,142.0
840944892622439698,288033145,10,38.917771291407554,-77.03017008942865,16,1.0,1.0,1.0,74.0
840945926296392811,288033145,10,38.91776,-77.03027,2,1.0,1.0,1.0,131.0
840946869841249561,288033145,10,38.91749,-77.0297,1,1.0,1.0,1.0,71.0
840948102362944175,288033145,10,38.91759,-77.02862,1,1.0,1.0,1.0,81.0
840949107664467409,288033145,10,38.91705,-77.02836,1,1.0,1.0,1.0,7000.0
840951323844971001,288033145,10,38.91577,-77.03005,1,1.0,1.0,1.0,7000.0
841251946587177424,95459395,18,38.9034,-77.00522,3,,1.0,,140.0
841252128942383897,9419684,18,38.9034,-77.00522,3,1.0,1.0,1.0,214.0
841256500768634615,30283594,18,38.9034,-77.00522,3,1.0,1.0,1.0,224.0
841380785204766229,389204839,6,38.92042,-77.07735,4,1.0,2.0,2.0,229.0
841478602649989643,53500538,28,38.90010425237006,-76.97790538395395,3,1.0,1.0,1.0,99.0
841516880074550210,249515363,14,38.838501419423686,-77.0037231462434,2,1.0,1.0,1.0,48.0
842153383987099029,2761762,18,38.90172275318485,-76.99318170561062,6,1.0,2.0,3.0,129.0
842857318178837612,53500538,27,38.934930611864566,-76.99206436209468,3,,1.0,,83.0
844006949273737622,8267354,34,38.85705640333834,-76.98166795692003,4,1.0,0.0,1.0,98.0
844426324015435333,53500538,12,38.9439395087661,-77.0257119105718,4,,1.0,,96.0
844736898434699539,417880024,21,38.93957426317554,-77.06756379356231,1,,,,111.0
844897861174143184,1676585,30,38.87536,-76.96039,4,1.0,2.0,2.0,149.0
845083606723794810,441682952,1,38.90886022295201,-77.01037523483537,2,3.0,1.0,1.0,63.0
845889702736528425,4872329,7,38.93602367428223,-77.02106984685342,4,1.0,1.0,2.0,120.0
846407423126847005,130131975,24,38.9018725,-77.05203329999999,4,1.0,2.0,2.0,101.0
846424798410268005,505237333,20,38.8487422,-76.98126169999999,8,2.5,3.0,5.0,172.0
847049688084399977,140334352,35,38.89369441149719,-76.93943423112847,8,,3.0,,72.5
847846578315630754,7650266,2,38.890148,-76.994699,3,,1.0,,155.0
847854780272583880,52862167,1,38.91238,-77.01059,3,1.0,1.0,1.0,119.0
847910341230678009,46630199,2,38.8825225,-76.9928712,7,2.0,2.0,4.0,425.0
847971272936260499,505131405,30,38.87497,-76.97163,7,3.0,3.0,6.0,299.0
848473441152089028,122382567,27,38.94556,-76.9894,4,1.5,2.0,2.0,177.0
848799660640283742,39592773,7,38.93588269207795,-77.02035154216517,4,2.0,2.0,2.0,179.0
849304474004984024,140334352,35,38.89282612011001,-76.94171726471043,14,,5.0,,72.5
849310766288741827,177084854,11,38.91572,-77.03698,6,2.0,2.0,3.0,300.0
849521381332726773,505882163,7,38.92715,-77.02233,4,1.0,2.0,2.0,103.0
850706344272231526,5706129,0,38.86261,-76.98733,5,1.0,2.0,3.0,89.0
850747325485526979,53500538,31,38.93357682754549,-76.99207196944575,5,,2.0,,104.0
851574504688335233,46630199,12,38.9477218,-77.0209321,5,2.0,1.0,3.0,106.0
851687969439159774,506345763,1,38.91688,-77.01295,2,1.0,1.0,2.0,99.0
852053662301944683,46630199,11,38.9160841,-77.04275860000001,4,1.0,1.0,2.0,162.0
852172238105696286,39930655,11,38.9143463,-77.0436562,2,1.0,1.0,0.0,93.0
852367577372150478,53500538,31,38.93345,-76.99177,6,,2.0,,104.0
852379125745649912,53500538,27,38.93475558844191,-76.99187948989342,3,1.0,1.0,2.0,95.0
852467007908174033,441682952,1,38.908,-77.00847,2,2.0,1.0,1.0,56.0
852478764779076867,441682952,1,38.907186288133545,-77.01026111446879,2,2.0,1.0,1.0,47.0
852735046702156954,59778090,12,38.96188,-77.03681,2,1.0,1.0,1.0,91.0
852747141495770294,120455802,1,38.92115,-77.00917,3,1.0,1.0,2.0,102.0
853029063748002494,53500538,28,38.90008,-76.9785,5,,2.0,,105.0
853050928788774664,53500538,27,38.93484233530132,-76.99000136618781,5,,2.0,,83.0
853065866211753887,53500538,27,38.93500871421717,-76.9914832234412,2,1.0,1.0,1.0,102.0
853437359297364001,425019452,18,38.8933784,-77.0007791,4,1.0,2.0,2.0,240.0
853674356550763866,506759722,10,38.91495527098986,-77.01670828991496,2,1.0,1.0,4.0,116.0
853806302217141215,506789267,18,38.89664388056407,-76.99303158870316,8,3.0,5.0,5.0,289.0
855083534137036382,464139430,9,38.91092,-77.01933,1,1.0,1.0,1.0,67.0
855260924654839953,68206025,38,38.9048507,-76.93190799999999,4,1.0,1.0,2.0,102.0
855885958708665878,53500538,12,38.94562673102591,-77.02763944005014,3,1.0,1.0,2.0,92.0
855913661798813495,331049846,1,38.910694376578284,-77.0104367085916,2,1.0,2.0,1.0,120.0
856013398426151361,25621,12,38.95165010399502,-77.01392749168748,4,,2.0,,96.0
856607716018454593,285141272,7,38.92819,-77.02152,2,1.0,1.0,1.0,94.0
856645121118520781,228071809,1,38.91616653318861,-77.0076692420265,5,,2.0,,102.0
856769934573680108,507398810,28,38.90642,-76.9806,4,2.0,2.0,2.0,100.0
858788950509023423,228071809,1,38.9179,-77.00643,5,,2.0,,102.0
860220926209205933,15906842,1,38.91167680683366,-77.01148109993413,6,2.5,2.0,4.0,197.0
860221913422816642,27502265,1,38.91848371899162,-77.0095121851232,3,,1.0,,102.0
860282990382751022,264706797,2,38.8882,-76.98899,4,1.0,2.0,3.0,136.0
861547009774597549,508375807,14,38.82652,-77.00957,8,2.5,3.0,4.0,174.0
861857172153830345,19798023,9,38.90602174856345,-77.01579320014301,12,4.5,7.0,11.0,1960.0
861865176451408911,500907286,18,38.90463201843833,-77.00714143645197,2,1.0,1.0,2.0,115.0
862194634487263648,9419684,18,38.9034,-77.00522,3,,1.0,,140.0
862194660269345785,9419684,18,38.9034,-77.00522,5,,2.0,,140.0
862231094075682048,127515562,18,38.89497867030365,-76.97935178875923,3,1.0,1.0,1.0,94.0
862331545539809742,431426196,18,38.9058102,-76.99784749999999,4,,2.0,,140.0
862913838401492538,1483531,1,38.911479636694665,-77.00459808799835,4,,2.0,,102.0
863112795538390776,19798023,17,38.90525770344706,-77.01509216746175,8,2.5,4.0,9.0,590.0
863249879217789768,18657916,2,38.88963475218984,-76.97129087003927,6,,3.0,,155.0
863957050586482027,80888415,7,38.93485,-77.02045,14,3.5,5.0,8.0,581.0
