listing_id,latitude,longitude,hover_description,listing_url,price,property_type,room_type,accommodates,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,reviews_per_month,host_id,host_name,host_identity_verified,host_listings_count,host_total_listings_count,license,neighbourhood,minimum_nights
900035571286086890,38.85424,-76.96815,Vista A/A,https://www.airbnb.com/rooms/900035571286086890,190.0,Entire home,Entire home/apt,5,0,0,0,,,,,516107852,Zyhra,True,2,3,Hosted License: 5007242201002693,"SE Woodland/Fort Stanton, Garfield Heights, Knox Hill",3.0
901456875437749943,38.94475793730306,-76.99656885272952,"Nice, quiet and clean .",https://www.airbnb.com/rooms/901456875437749943,45.0,Private room in home,Private room,1,6,3,0,2024-02-29,2025-01-24,4.83,0.38,251867718,Joseph,False,2,2,Hosted License: 5007242201003010,"NE North Michigan Park, Michigan Park, University Heights",7.0
901511997127737788,38.93492,-76.99008,Cozy Brookland Retreat | Balcony | Scenic Views!,https://www.airbnb.com/rooms/901511997127737788,117.0,Entire rental unit,Entire home/apt,5,31,9,2,2023-06-23,2025-06-02,4.48,1.28,53500538,Mary'S Stay,True,31,52,Exempt,"NE North Michigan Park, Michigan Park, University Heights",1.0
902660888840354616,38.916519,-77.02343,"Blueground | Shaw, gym & pool, nr entertainment",https://www.airbnb.com/rooms/902660888840354616,140.0,Entire rental unit,Entire home/apt,2,0,0,0,,,,,107434423,Blueground,True,4887,5683,,"NW-mid Howard University, Le Droit Park, Cardozo/Shaw",31.0
902748119912307462,38.912614338099374,-77.03178561205716,Hampton Court Suite,https://www.airbnb.com/rooms/902748119912307462,160.0,Entire rental unit,Entire home/apt,4,0,0,0,,,,,4318127,James,True,1,1,Hosted License: 5007242100000005,"NW-mid Shaw, Logan Circle",30.0
902969055318761792,38.90842605882597,-77.04532532749697,Your home base in Dupont and the West End,https://www.airbnb.com/rooms/902969055318761792,141.0,Entire rental unit,Entire home/apt,2,15,15,2,2025-01-21,2025-05-28,4.67,3.04,141106224,Ryan,True,2,2,Hosted License: 5007242201003994,"NW-mid Dupont Circle, Connecticut Avenue/K Street",2.0
903013088962240254,38.905534,-77.01870079999999,Sojourn Mt Vernon Sq Townhome | Outdoor Space,https://www.airbnb.com/rooms/903013088962240254,190.0,Entire home,Entire home/apt,4,4,2,0,2023-11-19,2025-02-21,4.75,0.21,39930655,Sojourn,True,566,777,,"NW-mid Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",31.0
903053624394362477,38.8819364,-76.9992214,Sojourn on 5th Unit 203,https://www.airbnb.com/rooms/903053624394362477,164.0,Entire rental unit,Entire home/apt,4,1,1,0,2024-09-30,2024-09-30,5.0,0.11,39930655,Sojourn,True,566,777,,"SE Capitol Hill, Lincoln Park",31.0
903569928769103410,38.853193,-76.9677041,Vista A/B,https://www.airbnb.com/rooms/903569928769103410,130.0,Entire rental unit,Entire home/apt,3,0,0,0,,,,,516107852,Zyhra,True,2,3,Hosted License: 5007262201002568,"SE Woodland/Fort Stanton, Garfield Heights, Knox Hill",3.0
903580802291779765,38.90132,-76.99906,Modern Swanky Oasis Central Location FREE Parking!,https://www.airbnb.com/rooms/903580802291779765,255.0,Entire home,Entire home/apt,7,127,47,3,2023-06-04,2025-06-12,4.87,5.11,360941391,Ron,True,35,73,Hosted License: 5007242201002705,"NE Union Station, Stanton Park, Kingman Park",1.0
903620194560057993,38.90846562335968,-77.00994865330784,Viola’s Place,https://www.airbnb.com/rooms/903620194560057993,145.0,Entire rental unit,Entire home/apt,2,39,15,5,2023-06-14,2025-06-12,4.97,1.59,162428147,Ricardo,True,1,1,Unhosted License: 5007242201002643,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",2.0
903688063874009313,38.94003658464552,-76.99029273167228,Grace Space,https://www.airbnb.com/rooms/903688063874009313,131.0,Entire rental unit,Entire home/apt,3,70,32,4,2023-09-03,2025-06-08,4.77,3.21,517575272,Nikki,False,1,1,Hosted License: 5007242201002950,"NE North Michigan Park, Michigan Park, University Heights",1.0
960699118296797208,38.92627846797889,-77.04026254573233,Cozy Room 3 in Spacious House,https://www.airbnb.com/rooms/960699118296797208,100.0,Private room in home,Private room,2,19,8,0,2023-09-01,2025-04-01,4.74,0.87,4071043,Grace,True,4,4,Hosted License: 5007242201002563,"NW-mid Kalorama Heights, Adams Morgan, Lanier Heights",1.0
904216460347399009,38.91419115337494,-77.012829445197,"New & Modern 4 BR, 3 bath, Designer Penthouse",https://www.airbnb.com/rooms/904216460347399009,117.0,Entire home,Entire home/apt,8,111,54,3,2023-06-18,2025-06-01,4.85,4.56,362858420,Jordi,True,5,7,Hosted License: 5007242201002814,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",1.0
904553548615290503,38.82349789080572,-77.00726934582714,"Furnished Home in Washington, DC",https://www.airbnb.com/rooms/904553548615290503,245.0,Private room in guesthouse,Private room,2,0,0,0,,,,,517779954,Amen,True,1,2,Exempt,"SE Congress Heights, Bellevue, Washington Highlands",2.0
905034259832609536,38.90689,-77.04934,"Comfort and Relaxation! Pool, Near White House",https://www.airbnb.com/rooms/905034259832609536,165.0,Room in hostel,Hotel room,4,0,0,0,,,,,25138314,RoomPicks By Antony,True,645,2606,Exempt,"NW-mid West End, Foggy Bottom, GWU",1.0
905034702897388105,38.90689,-77.04934,"Prime Location! Onsite Pool, Parking",https://www.airbnb.com/rooms/905034702897388105,165.0,Room in hotel,Hotel room,4,0,0,0,,,,,25138314,RoomPicks By Antony,True,645,2606,Exempt,"NW-mid West End, Foggy Bottom, GWU",1.0
907916187586604668,38.91428,-77.01398,2 Mi to National Mall: WFH-Friendly DC Townhome,https://www.airbnb.com/rooms/907916187586604668,121.0,Entire townhouse,Entire home/apt,4,25,13,3,2023-06-21,2025-06-08,4.72,1.03,122382567,Evolve,True,1268,2762,Hosted License: 5007242201002606,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",2.0
906380407996246751,38.94049,-76.98567,"Modern & Luxurious, Brookland DC",https://www.airbnb.com/rooms/906380407996246751,198.0,Entire townhouse,Entire home/apt,5,29,11,2,2023-09-22,2025-06-02,4.93,1.37,397366263,Ruth,True,2,2,Unhosted License: 5007242201003001,"NE Brookland, Brentwood, Langdon",1.0
906529926617001644,38.955,-77.03206,"Classic Updated DC House on Main 14th NW, DC!",https://www.airbnb.com/rooms/906529926617001644,100.0,Entire home,Entire home/apt,5,2,2,0,2024-07-13,2024-11-26,5.0,0.18,163819852,Babak,True,1,1,,"NW-mid Brightwood Park, Crestwood, Petworth",31.0
906578332488863671,38.909293440610966,-76.98485802859068,Spacious 2 Bedrooom | Parking Avail,https://www.airbnb.com/rooms/906578332488863671,108.0,Entire rental unit,Entire home/apt,4,21,7,3,2023-07-09,2025-06-02,4.71,0.89,1466084,Rosalyn,True,4,4,Hosted License: 5007242201002667,"NE Ivy City, Arboretum, Trinidad, Carver Langston",3.0
906661052699006247,38.9154923166878,-77.00303582376814,Spacious & Quiet Base in DC 3BR & 3BA,https://www.airbnb.com/rooms/906661052699006247,117.0,Entire condo,Entire home/apt,8,104,56,4,2023-06-19,2025-06-09,4.91,4.27,518202573,Matt,True,4,4,Exempt,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",1.0
907089832389697384,38.91459,-77.00385,Family Friendly HQ - Historic DC 3BR & 3BA,https://www.airbnb.com/rooms/907089832389697384,117.0,Entire condo,Entire home/apt,8,107,62,6,2023-06-24,2025-06-10,4.98,4.43,518202573,Matt,True,4,4,Exempt,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",1.0
907928656662865250,38.8929,-76.98816,Modern basement apartment in Capitol Hill,https://www.airbnb.com/rooms/907928656662865250,158.0,Entire rental unit,Entire home/apt,4,24,7,2,2023-06-21,2025-06-08,4.92,0.99,11330505,David,True,1,1,Hosted License: 5007242201002791,"NE Union Station, Stanton Park, Kingman Park",2.0
